receiverId,deviceId
001bc509408101f8,508cb1528ff7
001bc50940820017,2091484bb3f3
001bc50940820018,2091484bb3e2
001bc50940820019,2091484bb484
001bc5094082001a,2091484bb3df
001bc5094082001c,2091484bb3ed
001bc5094082001d,2091484bb3f0
001bc5094082001e,2091484bb3e1
001bc5094082001f,2091484bb3ef
001bc50940820020,2091484bb3fa
001bc50940820021,2091484bb3e9
001bc50940820022,2091484bb3e4
001bc50940820023,2091484bb3f9
001bc50940820024,2091484bb3db
001bc50940820025,2091484bb3f8
001bc50940820026,2091484bb3f6
001bc50940820027,2091484bb3f1
001bc50940820028,2091484bb3cc
001bc50940820029,2091484bb3ec
001bc5094082002a,2091484bb3e3
001bc5094082002b,2091484bb3fb
001bc5094082002c,2091484bb3de
001bc5094082002d,2091484bb3dc
001bc5094082002e,2091484bb3dd
001bc5094082002f,2091484bb3ee
001bc50940820030,2091484bb3eb
001bc50940820031,2091484bb483
001bc50940820032,2091484bb3d0
001bc50940820033,2091484bb3f5
001bc50940820034,2091484bb481
001bc5094082003b,2091484bb4ba
001bc5094082003c,2091484bb4d3
001bc5094082003d,2091484bacd4
001bc5094082003e,2091484bb3ff
001bc5094082003f,2091484bb4ad
001bc50940820043,2091484bb3d9
001bc50940820045,0cb2b755869c
001bc50940820046,0cb2b7557f53
001bc50940820047,0cb2b7558a5a
001bc50940820048,0cb2b7558336
001bc50940820049,0cb2b75586fb
001bc5094082004b,0cb2b7558345
001bc5094082004c,0cb2b75586aa
001bc5094082004d,0cb2b7558a00
001bc5094082004f,0cb2b7557f5c
001bc50940820050,0cb2b7558a69
001bc50940820051,0cb2b7558352
001bc50940820052,0cb2b75586b2
001bc50940820053,0cb2b7558a77
001bc50940820054,0cb2b7557f6c
001bc50940820055,0cb2b755832c
001bc50940820056,0cb2b7557f47
001bc50940820057,0cb2b7558339
001bc50940820058,0cb2b7558a12
001bc50940820059,0cb2b7558369
001bc5094082005b,0cb2b755835d
001bc5094082005c,0cb2b7558350
001bc5094082005d,0cb2b7558d9e
001bc5094082005f,0cb2b7557f7a
001bc50940820060,0cb2b755830c
