receiverId,deviceId
001bc50940820228,30451156221a
001bc50940820241,30451155f741
001bc50940820242,30451155ea43
001bc50940820243,30451155eda6
001bc5094082025d,3045115611de
001bc5094082027a,304511562f94
001bc509408202aa,3045115604ac
001bc509408202c3,3045115604da
001bc509408202ce,3045115609a4
001bc509408202f4,3045116fb92d
001bc50940820334,30451156002a
001bc50940820359,3.04512E+11
001bc509408200a5,c8df842f5ecc
001bc509408200a4,c8df842f5c64
001bc5094082005a,0cb2b755834a
001bc509408200a8,c8df842f5a15
001bc5094082004e,0cb2b7558a13
001bc5094082004a,0cb2b75586ff
001bc509408200a3,c8df842f5eb7
001bc5094082009b,c8df842f5c03
001bc50940820079,c8df842f5a67
001bc509408200ad,0cb2b7558308
001bc50940820074,0cb2b75586c4
001bc50940820063,0cb2b755835b
001bc509408200fe,0cb2b755959c
001bc509408200c9,0cb2b7558344
001bc509408200c4,0cb2b7558a64
001bc509408200c8,0cb2b7557f52
001bc50940820119,0cb2b7558db0
001bc509408200d6,0cb2b7558357
001bc509408200eb,0cb2b7558358
001bc50940820078,0cb2b7558a1c
001bc5094082011b,0cb2b7558dbe
001bc509408200fa,0cb2b75586a5
001bc50940820111,0cb2b75595a1
001bc50940820112,0cb2b7559a92
001bc509408200c3,0cb2b75586fe
001bc509408200b9,0cb2b7557f38
001bc509408200c1,0cb2b7558692
001bc509408200d3,0cb2b7558304
001bc5094082007d,c8df842f5c49
001bc509408200ce,0cb2b7558a11
001bc509408200cf,0cb2b7558354
001bc50940820082,c8df842f5a77
001bc509408200bb,0cb2b75586f0
001bc509408200bd,0cb2b7558689
001bc509408200b4,0cb2b7558d93
001bc509408200bc,0cb2b7558a40
001bc509408200b8,c8df842f5c0e
001bc509408200bf,0cb2b7557f56
001bc509408200ca,0cb2b7557f5d
001bc50940820114,0cb2b7559aaa
