ParticipantID,NumberOfRecordings,HoursRecorded
7b0d87b0-c099-44eb-9815-67d51d73db9a,1710,9.5
7b497dbd-18ec-4d3c-88dd-e9f1d67fb493,316,1.755555556
7bb5eee8-70d6-4b16-990a-a62cf827170a,6072,33.73333333
7c34bf1b-3b8b-45cd-ae97-26f2eafe97dd,10198,56.65555556
7c885f26-7923-41a3-847e-c971eafee8d4,6903,38.35
7e6a98f1-73c3-4023-9bbd-acf2b70d04b5,2320,12.88888889
7e883e52-65af-4edb-9d55-a72ba5f03287,11790,65.5
803be457-cee4-4f3f-9540-ff574c57c697,1727,9.594444444
8307ff6e-f582-49b0-81cc-39fe9966d097,9599,53.32777778
8323bb7d-6b8d-4dea-82d6-08944e6da3a9,6080,33.77777778
85c88df0-b503-4329-a29f-353199f7fe5b,7912,43.95555556
883aca61-af06-4c14-ba58-8d2e4b75bfda,6554,36.41111111
885170be-d945-427d-bd3a-b0524ddc3105,20646,114.7
89ff7373-ee85-4764-a4dd-90138af9af85,11147,61.92777778
8a01ec4c-6222-4efd-9beb-0adb12e00a2b,6800,37.77777778
8a2a2baf-826f-445d-a7fe-3a9b7f5d2334,535,2.972222222
8b13d979-315f-4357-8f0e-7c12df0a6ca8,3579,19.88333333
8c09fe40-2c9e-49a1-afc9-a37138658d3b,1622,9.011111111
8c0d11a7-1838-4db4-9319-5d171522655d,5764,32.02222222
8f1c82eb-5e71-4187-a0a3-f2b58d8d99bd,3041,16.89444444
91297102-4775-4ea1-a10d-4530e3c2f0af,231,1.283333333
94144e0e-7ea9-4b65-96a4-86e9741d269d,202,1.122222222
9519432e-bf05-4f6c-80d7-f61e930f14ba,8790,48.83333333
9548d1c4-bd4a-4841-9146-c0678135069d,6197,34.42777778
95f9f3a8-128c-4382-aa4b-6ea319b497ae,7148,39.71111111
967b5d47-3ff4-4364-b2e8-b2243c490d7d,5548,30.82222222
96a272fc-166f-4fe4-8aeb-3874264f3b54,4003,22.23888889
997c6352-6724-4985-b48c-9c3f08437964,8332,46.28888889
9b4822a9-8506-4026-8f8f-803410f95a52,8043,44.68333333
9c4b0b2a-92e1-4aeb-be90-98f65c1d4217,12098,67.21111111
a0746eca-480e-41ac-bc92-d31568b2bdaf,13791,76.61666667
a09f7021-3875-48f3-ab98-b7ae623fb91a,5145,28.58333333
a0fce948-41d2-4070-bad2-ab8d17bf97d8,1096,6.088888889
a1395d16-e27d-4ff3-80ba-2bb22049c19d,9746,54.14444444
a1623554-43d6-4038-b28a-bd74a96b9c97,5361,29.78333333
